price,area,rooms,floor,total_floors,building_year,elevator,terrace,parking,price_per_m2,building_age,floor_ratio,city_Beograd,municipality_Barajevo,municipality_Grocka,municipality_Mladenovac,municipality_Novi Beograd,municipality_Obrenovac,municipality_Palilula,municipality_Rakovica,municipality_Savski Venac,municipality_Sopot,municipality_Stari Grad,municipality_Surčin,municipality_Voždovac,municipality_Vračar,municipality_Zemun,municipality_Zvezdara,municipality_unknown,municipality_Čukarica
533000.0,126.0,4.0,7.0,7.0,2026.0,0,1,1,4230.158730158731,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199000.0,64.0,3.0,18.0,19.0,,1,1,0,3109.375,,0.9473684210526315,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
423200.0,92.0,4.0,5.0,6.0,,1,1,0,4600.0,,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210000.0,75.0,3.0,0.0,7.0,1980.0,1,1,0,2800.0,46.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145000.0,95.0,2.0,,2.0,,0,1,0,1526.3157894736842,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194039.0,67.0,2.0,3.0,9.0,,1,1,0,2896.10447761194,,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
320000.0,86.0,3.0,2.0,,,0,1,0,3720.9302325581393,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
399000.0,106.0,3.0,7.0,13.0,,1,1,1,3764.1509433962265,,0.5384615384615384,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153000.0,30.0,2.0,,4.0,2021.0,1,0,0,5100.0,5.0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
440000.0,78.0,3.0,18.0,22.0,,1,1,0,5641.025641025641,,0.8181818181818182,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147400.0,67.0,4.0,2.0,4.0,,1,1,1,2200.0,,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126800.0,45.0,2.0,2.0,2.0,2025.0,0,1,1,2817.777777777778,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122000.0,63.0,2.0,,6.0,2028.0,1,1,0,1936.5079365079366,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185470.0,55.0,2.0,5.0,7.0,2026.0,1,1,1,3372.181818181818,0.0,0.7142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
328000.0,72.0,3.0,7.0,8.0,,1,1,1,4555.555555555556,,0.875,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
241388.0,65.0,2.0,3.0,4.0,2026.0,1,1,0,3713.6615384615384,0.0,0.75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122000.0,50.0,2.0,3.0,3.0,,0,0,0,2440.0,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214000.0,69.0,2.0,2.0,,,0,1,0,3101.449275362319,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145000.0,30.0,1.0,,4.0,,0,0,1,4833.333333333333,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
256888.0,55.0,2.0,1.0,,,1,1,1,4670.690909090909,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130000.0,35.0,1.0,6.0,6.0,,0,1,0,3714.285714285714,,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
362000.0,80.0,3.0,2.0,18.0,,1,1,1,4525.0,,0.1111111111111111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63000.0,26.0,1.0,1.0,3.0,2026.0,1,1,1,2423.076923076923,0.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
209000.0,95.0,3.0,,,,0,0,0,2200.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
415000.0,75.0,3.0,6.0,8.0,,1,1,0,5533.333333333333,,0.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84000.0,33.0,1.0,,3.0,,0,0,1,2545.4545454545455,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
519000.0,134.0,4.0,12.0,12.0,2026.0,1,1,1,3873.134328358209,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
266500.0,57.0,2.0,1.0,14.0,,1,1,1,4675.438596491228,,0.07142857142857142,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
288119.0,78.0,3.0,3.0,4.0,2026.0,1,1,1,3693.8333333333335,0.0,0.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119000.0,41.0,2.0,,2.0,2027.0,0,1,1,2902.439024390244,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115567.0,47.0,2.0,2.0,1.0,2026.0,0,1,1,2458.872340425532,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
268450.0,91.0,4.0,1.0,4.0,2026.0,1,1,1,2950.0,0.0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
327500.0,108.0,4.0,,3.0,2026.0,1,1,1,3032.4074074074074,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
268155.0,91.0,4.0,2.0,3.0,,1,1,1,2946.7582417582416,,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
168807.0,77.0,3.0,4.0,4.0,2025.0,1,1,1,2192.2987012987014,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85000.0,56.0,2.0,3.0,4.0,,0,1,0,1517.857142857143,,0.75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120000.0,51.0,2.0,,6.0,,1,1,0,2352.9411764705883,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
347340.0,124.0,4.0,4.0,,,1,1,0,2801.1290322580644,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
399000.0,103.0,3.0,3.0,1.0,,0,1,1,3873.78640776699,,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150000.0,61.0,4.0,,4.0,,0,0,1,2459.0163934426228,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160000.0,66.0,2.0,1.0,3.0,2010.0,0,1,1,2424.242424242424,16.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210000.0,55.0,3.0,4.0,5.0,,0,1,0,3818.181818181818,,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
395000.0,130.0,4.0,,3.0,,1,1,1,3038.4615384615386,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144162.0,80.0,3.0,3.0,4.0,2025.0,0,0,1,1802.025,1.0,0.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336000.0,53.0,2.0,4.0,5.0,,1,0,1,6339.622641509434,,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
288587.0,73.0,3.0,2.0,6.0,,0,0,0,3953.246575342466,,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
350000.0,121.0,4.0,6.0,6.0,,1,1,0,2892.561983471074,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
524800.0,116.0,4.0,6.0,,,1,1,1,4524.137931034483,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249500.0,95.0,4.0,,4.0,,0,1,0,2626.315789473684,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145000.0,50.0,2.0,,2.0,,0,1,0,2900.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
313000.0,68.0,3.0,5.0,5.0,,1,0,0,4602.941176470588,,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119000.0,47.0,2.0,,4.0,,1,1,0,2531.9148936170213,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129954.0,48.0,2.0,2.0,3.0,,0,1,0,2707.375,,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
