price,area,rooms,city,municipality,floor,total_floors,building_year,elevator,terrace,parking,url
241388.0,65.0,2.0,Beograd,Palilula,3.0,4.0,2026.0,True,True,False,https://www.nekretnine.rs/oglasi/1036397/
122000.0,50.0,2.0,Beograd,Čukarica,3.0,3.0,,False,False,False,https://www.nekretnine.rs/oglasi/1011375/
214000.0,69.0,2.0,Beograd,Vračar,2.0,,,False,True,False,https://www.nekretnine.rs/oglasi/1041723/
145000.0,30.0,1.0,Beograd,Zvezdara,,4.0,,False,False,True,https://www.nekretnine.rs/oglasi/1030841/
470000.0,165.0,5.0,Beograd,Savski Venac,1.0,3.0,,False,False,True,https://www.nekretnine.rs/oglasi/47001/
256888.0,55.0,2.0,Beograd,Savski Venac,1.0,,,True,True,True,https://www.nekretnine.rs/oglasi/1050535/
130000.0,35.0,1.0,Beograd,Savski Venac,6.0,6.0,,False,True,False,https://www.nekretnine.rs/oglasi/782241/
362000.0,80.0,3.0,Beograd,Savski Venac,2.0,18.0,,True,True,True,https://www.nekretnine.rs/oglasi/1054113/
63000.0,26.0,1.0,Beograd,Zvezdara,1.0,3.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1038619/
209000.0,95.0,3.0,Beograd,Zemun,,,,False,False,False,https://www.nekretnine.rs/oglasi/41973/
415000.0,75.0,3.0,Beograd,Novi Beograd,6.0,8.0,,True,True,False,https://www.nekretnine.rs/oglasi/1035621/
84000.0,33.0,1.0,Beograd,Zvezdara,,3.0,,False,False,True,https://www.nekretnine.rs/oglasi/1053947/
519000.0,134.0,4.0,Beograd,Stari Grad,12.0,12.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/31627/
266500.0,57.0,2.0,Beograd,Savski Venac,1.0,14.0,,True,True,True,https://www.nekretnine.rs/oglasi/1021367/
288119.0,78.0,3.0,Beograd,Novi Beograd,3.0,4.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1036393/
119000.0,41.0,2.0,Beograd,Zemun,,2.0,2027.0,False,True,True,https://www.nekretnine.rs/oglasi/1004673/
115567.0,47.0,2.0,Beograd,Voždovac,2.0,1.0,2026.0,False,True,True,https://www.nekretnine.rs/oglasi/1003265/
268450.0,91.0,4.0,Beograd,Zvezdara,1.0,4.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1012547/
327500.0,108.0,4.0,Beograd,Zemun,,3.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/1029379/
268155.0,91.0,4.0,Beograd,Zvezdara,2.0,3.0,,True,True,True,https://www.nekretnine.rs/oglasi/1047473/
950000.0,211.0,5.0,Beograd,Savski Venac,8.0,8.0,2025.0,True,True,True,https://www.nekretnine.rs/oglasi/31731/
168807.0,77.0,3.0,Beograd,Zvezdara,4.0,4.0,2025.0,True,True,True,https://www.nekretnine.rs/oglasi/1056099/
85000.0,56.0,2.0,Beograd,Palilula,3.0,4.0,,False,True,False,https://www.nekretnine.rs/oglasi/1054381/
120000.0,51.0,2.0,Beograd,Zvezdara,,6.0,,True,True,False,https://www.nekretnine.rs/oglasi/54141/
347340.0,124.0,4.0,Beograd,Palilula,4.0,,,True,True,False,https://www.nekretnine.rs/oglasi/1091269/
399000.0,103.0,3.0,Beograd,Vračar,3.0,1.0,,False,True,True,https://www.nekretnine.rs/oglasi/1046275/
150000.0,61.0,4.0,Beograd,Voždovac,,4.0,,False,False,True,https://www.nekretnine.rs/oglasi/36735/
160000.0,66.0,2.0,Beograd,Voždovac,1.0,3.0,2010.0,False,True,True,https://www.nekretnine.rs/oglasi/1035979/
210000.0,55.0,3.0,Beograd,Stari Grad,4.0,5.0,,False,True,False,https://www.nekretnine.rs/oglasi/1007435/
395000.0,130.0,4.0,Beograd,Zemun,,3.0,,True,True,True,https://www.nekretnine.rs/oglasi/1034113/
144162.0,80.0,3.0,Beograd,Grocka,3.0,4.0,2025.0,False,False,True,https://www.nekretnine.rs/oglasi/55327/
336000.0,53.0,2.0,Beograd,Savski Venac,4.0,5.0,,True,False,True,https://www.nekretnine.rs/oglasi/1038885/
288587.0,73.0,3.0,Beograd,Zvezdara,2.0,6.0,,False,False,False,https://www.nekretnine.rs/oglasi/1009327/
350000.0,121.0,4.0,Beograd,Vračar,6.0,6.0,,True,True,False,https://www.nekretnine.rs/oglasi/50495/
524800.0,116.0,4.0,Beograd,Savski Venac,6.0,,,True,True,True,https://www.nekretnine.rs/oglasi/72829/
249500.0,95.0,4.0,Beograd,Palilula,,4.0,,False,True,False,https://www.nekretnine.rs/oglasi/1020071/
145000.0,50.0,2.0,Beograd,Čukarica,,2.0,,False,True,False,https://www.nekretnine.rs/oglasi/1055165/
313000.0,68.0,3.0,Beograd,Stari Grad,5.0,5.0,,True,False,False,https://www.nekretnine.rs/oglasi/1042485/
119000.0,47.0,2.0,Beograd,Zemun,,4.0,,True,True,False,https://www.nekretnine.rs/oglasi/1020709/
129954.0,48.0,2.0,Beograd,Voždovac,2.0,3.0,,False,True,False,https://www.nekretnine.rs/oglasi/1046551/
203000.0,58.0,2.0,Beograd,Savski Venac,3.0,3.0,1986.0,False,True,False,https://www.nekretnine.rs/oglasi/1011721/
170000.0,61.0,3.0,Beograd,Voždovac,5.0,10.0,,True,True,False,https://www.nekretnine.rs/oglasi/1030265/
115000.0,41.0,2.0,Beograd,Palilula,3.0,4.0,,False,False,True,https://www.nekretnine.rs/oglasi/1005373/
130000.0,131.0,2.0,Beograd,Zemun,,3.0,2000.0,False,True,True,https://www.nekretnine.rs/oglasi/1009045/
146192.0,54.0,3.0,Beograd,Zvezdara,,2.0,2025.0,False,True,True,https://www.nekretnine.rs/oglasi/21845/
120000.0,41.0,2.0,Beograd,Zvezdara,2.0,3.0,2025.0,True,True,True,https://www.nekretnine.rs/oglasi/1043381/
82800.0,36.0,2.0,Beograd,Čukarica,0.0,1.0,,False,True,False,https://www.nekretnine.rs/oglasi/1019209/
400000.0,107.0,4.0,Beograd,Vračar,1.0,2.0,,False,True,False,https://www.nekretnine.rs/oglasi/1030825/
204999.0,65.0,3.0,Beograd,Zvezdara,4.0,5.0,,True,True,False,https://www.nekretnine.rs/oglasi/1021583/
515000.0,113.0,3.0,Beograd,Savski Venac,11.0,,,True,True,True,https://www.nekretnine.rs/oglasi/999917/
288400.0,77.0,3.0,Beograd,Zemun,10.0,10.0,,False,False,False,https://www.nekretnine.rs/oglasi/42339/
159900.0,57.0,2.0,Beograd,Palilula,,2.0,,False,False,False,https://www.nekretnine.rs/oglasi/37959/
138400.0,35.0,2.0,Beograd,Novi Beograd,,2.0,,True,True,False,https://www.nekretnine.rs/oglasi/1019989/
101200.0,46.0,2.0,Beograd,Zvezdara,,,2025.0,False,True,False,https://www.nekretnine.rs/oglasi/1034145/
395000.0,75.0,2.0,Beograd,Savski Venac,1.0,,,True,True,True,https://www.nekretnine.rs/oglasi/35247/
143352.0,54.0,2.0,Beograd,Novi Beograd,2.0,3.0,,True,True,False,https://www.nekretnine.rs/oglasi/46649/
155000.0,55.0,2.0,Beograd,Palilula,3.0,3.0,,False,True,False,https://www.nekretnine.rs/oglasi/1019957/
615000.0,268.0,4.0,Beograd,Voždovac,1.0,3.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/41749/
267000.0,89.0,3.0,Beograd,Zvezdara,4.0,,,True,True,True,https://www.nekretnine.rs/oglasi/44333/
257000.0,78.0,4.0,Beograd,Voždovac,2.0,3.0,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/41747/
150000.0,30.0,1.0,Beograd,Vračar,,4.0,,False,False,False,https://www.nekretnine.rs/oglasi/1043889/
475000.0,96.0,4.0,Beograd,Novi Beograd,4.0,5.0,,True,True,False,https://www.nekretnine.rs/oglasi/1043795/
200000.0,63.0,3.0,Beograd,Zemun,1.0,4.0,,True,True,True,https://www.nekretnine.rs/oglasi/1017121/
1850000.0,312.0,5.0,Beograd,Čukarica,14.0,15.0,,False,False,False,https://www.nekretnine.rs/oglasi/88501/
235000.0,71.0,3.0,Beograd,Voždovac,2.0,,2026.0,True,True,True,https://www.nekretnine.rs/oglasi/41753/
235000.0,76.0,3.0,Beograd,Voždovac,5.0,20.0,,True,True,False,https://www.nekretnine.rs/oglasi/1055149/
468000.0,129.0,4.0,Beograd,,5.0,5.0,2023.0,True,True,True,https://www.nekretnine.rs/oglasi/1005093/
338000.0,64.0,4.0,Beograd,,4.0,4.0,2012.0,True,True,False,https://www.nekretnine.rs/oglasi/1031367/
650000.0,152.0,4.0,Beograd,,5.0,5.0,,True,True,False,https://www.nekretnine.rs/oglasi/1008635/
205000.0,52.0,,Beograd,Vračar,,4.0,,False,True,False,https://www.nekretnine.rs/oglasi/1046247/
319000.0,60.0,3.0,Beograd,,3.0,6.0,,True,True,False,https://www.nekretnine.rs/oglasi/1049039/
385000.0,82.0,3.0,Beograd,,20.0,23.0,2019.0,False,True,False,https://www.nekretnine.rs/oglasi/32693/
225000.0,60.0,3.0,Beograd,Voždovac,,4.0,,True,True,True,https://www.nekretnine.rs/oglasi/1040193/
400000.0,195.0,,Beograd,Savski Venac,,,,False,False,False,https://www.nekretnine.rs/oglasi/27971/
121473.0,61.0,2.0,Beograd,Obrenovac,4.0,4.0,2026.0,True,True,False,https://www.nekretnine.rs/oglasi/998913/
71150.0,43.0,1.0,Beograd,Obrenovac,,3.0,2026.0,False,False,True,https://www.nekretnine.rs/oglasi/999083/
129000.0,52.0,,Beograd,Zvezdara,1.0,4.0,,False,False,False,https://www.nekretnine.rs/oglasi/1047333/
78880.0,39.0,2.0,Beograd,,,2.0,2026.0,False,True,False,https://www.nekretnine.rs/oglasi/1016079/
110000.0,41.0,2.0,Beograd,,2.0,4.0,2025.0,True,True,True,https://www.nekretnine.rs/oglasi/1008121/
286888.0,62.0,2.0,Beograd,,21.0,25.0,,False,True,False,https://www.nekretnine.rs/oglasi/1036347/
79000.0,44.0,2.0,Beograd,Palilula,3.0,4.0,,False,True,False,https://www.nekretnine.rs/oglasi/1061371/
278000.0,136.0,6.0,Beograd,Palilula,4.0,4.0,,False,True,True,https://www.nekretnine.rs/oglasi/1007261/
